2026-07-02 09:22:02 | INFO     | serial_service | Auto-detecting port from 1 available ports
2026-07-02 09:22:02 | INFO     | serial_service | No scale data detected, using first port: COM4
2026-07-02 09:22:02 | WARNING  | serial_service | Could not auto-detect baud rate for COM4, using 9600
2026-07-02 09:22:02 | ERROR    | serial_service | Serial connection failed on COM4: could not open port 'COM4': OSError(22, 'A device which does not exist was specified.', None, 433)
2026-07-02 09:25:19 | INFO     | serial_service | Cleaning up serial service
2026-07-02 09:25:19 | INFO     | serial_service | Serial service cleaned up
2026-07-02 09:25:23 | INFO     | serial_service | SerialScaleService initialized
2026-07-02 09:25:31 | INFO     | serial_service | Auto-detecting port from 1 available ports
2026-07-02 09:25:31 | INFO     | serial_service | No scale data detected, using first port: COM3
2026-07-02 09:25:31 | WARNING  | serial_service | Could not auto-detect baud rate for COM3, using 9600
2026-07-02 09:25:31 | ERROR    | serial_service | Serial connection failed on COM3: could not open port 'COM3': OSError(22, 'A device which does not exist was specified.', None, 433)
2026-07-02 09:34:50 | INFO     | serial_service | Cleaning up serial service
2026-07-02 09:34:50 | INFO     | serial_service | Serial service cleaned up
